"Código","Departamento","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
1376,"Piura",85,23,61,30
2409,"Piura",111,29,67,29
991,"Piura",71,26,67,24
3375,"Lima Metropolitana",104,26,61,27
79,"Cusco",112,33,61,29
1809,"Cusco",106,23,63,25
272,"Piura",44,17,45,16
3498,"Lima Metropolitana",97,26,55,23
1857,"Loreto",116,33,73,29
3358,"Lima Metropolitana",59,18,51,20
1882,"Piura",114,34,76,27
2362,"Piura",106,32,73,34
3190,"Lima Metropolitana",124,31,65,31
3112,"Lima Metropolitana",140,35,68,34
1510,"Loreto",105,30,61,27
811,"Cusco",82,28,65,23
3220,"Lima Metropolitana",92,25,53,23
1455,"Cusco",69,25,51,19
382,"Piura",153,25,67,28
1530,"Loreto",73,30,60,27
1366,"Piura",82,26,53,21
3341,"Lima Metropolitana",137,35,58,26
830,"Cusco",111,21,61,23
3222,"Lima Metropolitana",112,30,58,30
1250,"Loreto",110,31,54,28
1853,"Loreto",156,36,78,33
1223,"Cusco",71,26,64,22
2516,"Piura",81,34,68,24
2607,"Piura",38,24,39,9
1121,"Cusco",41,11,38,14
1395,"Cusco",85,27,57,24
