"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
2259,"2 (Abr-Jun)",81,24,59,24
576,"2 (Abr-Jun)",76,21,50,23
2358,"2 (Abr-Jun)",118,32,77,35
997,"2 (Abr-Jun)",63,22,49,17
1789,"2 (Abr-Jun)",111,27,73,27
1021,"2 (Abr-Jun)",79,25,62,23
1086,"2 (Abr-Jun)",98,35,67,21
1750,"2 (Abr-Jun)",131,36,75,31
2602,"2 (Abr-Jun)",98,31,66,24
1854,"2 (Abr-Jun)",122,30,73,29
2413,"2 (Abr-Jun)",102,31,69,28
834,"2 (Abr-Jun)",105,32,64,26
1013,"2 (Abr-Jun)",95,30,69,28
1866,"2 (Abr-Jun)",133,36,77,31
1782,"2 (Abr-Jun)",93,32,70,26
1300,"2 (Abr-Jun)",148,35,68,33
3285,"2 (Abr-Jun)",108,30,59,22
2371,"2 (Abr-Jun)",110,32,75,35
814,"2 (Abr-Jun)",107,32,73,25
1033,"2 (Abr-Jun)",84,25,63,23
222,"2 (Abr-Jun)",98,28,60,30
573,"2 (Abr-Jun)",108,28,52,25
1875,"2 (Abr-Jun)",153,36,73,31
1043,"2 (Abr-Jun)",100,28,72,30
2609,"2 (Abr-Jun)",40,26,33,11
3254,"4 (Oct-Dic)",91,27,57,22
2266,"2 (Abr-Jun)",127,36,66,35
3311,"2 (Abr-Jun)",99,22,55,23
2249,"2 (Abr-Jun)",104,31,61,32
1848,"2 (Abr-Jun)",147,36,66,30
3342,"2 (Abr-Jun)",155,36,71,35
1885,"2 (Abr-Jun)",116,34,76,27
2397,"2 (Abr-Jun)",146,35,68,30
2116,"2 (Abr-Jun)",58,23,55,24
529,"2 (Abr-Jun)",139,36,60,29
3110,"2 (Abr-Jun)",91,31,42,21
229,"2 (Abr-Jun)",100,30,56,31
266,"2 (Abr-Jun)",65,20,58,22
91,"2 (Abr-Jun)",86,29,54,22
223,"2 (Abr-Jun)",106,28,63,31
66,"2 (Abr-Jun)",103,26,63,25
1751,"2 (Abr-Jun)",106,35,75,29
3101,"2 (Abr-Jun)",114,30,58,29
263,"2 (Abr-Jun)",70,20,61,27
236,"2 (Abr-Jun)",68,20,42,24
3449,"2 (Abr-Jun)",99,27,55,16
267,"2 (Abr-Jun)",108,28,67,31
396,"2 (Abr-Jun)",67,24,56,22
2381,"2 (Abr-Jun)",118,31,73,35
3280,"2 (Abr-Jun)",102,32,57,22
774,"2 (Abr-Jun)",85,28,56,26
3138,"2 (Abr-Jun)",82,35,65,25
1022,"2 (Abr-Jun)",83,25,63,23
1781,"2 (Abr-Jun)",82,29,65,22
3339,"2 (Abr-Jun)",156,36,74,33
3224,"2 (Abr-Jun)",85,26,55,22
3192,"4 (Oct-Dic)",112,31,59,26
2595,"2 (Abr-Jun)",104,30,63,29
2146,"2 (Abr-Jun)",83,26,48,23
269,"2 (Abr-Jun)",105,29,60,30
2343,"2 (Abr-Jun)",71,33,73,29
3361,"2 (Abr-Jun)",116,31,57,27
1246,"2 (Abr-Jun)",111,29,61,31
3288,"2 (Abr-Jun)",140,33,62,27
357,"2 (Abr-Jun)",80,23,47,19
3301,"2 (Abr-Jun)",67,16,45,23
827,"2 (Abr-Jun)",93,30,64,24
1249,"2 (Abr-Jun)",125,34,55,34
1450,"2 (Abr-Jun)",69,23,52,18
297,"2 (Abr-Jun)",65,24,50,24
